kepoi_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg
K04388.02,CANDIDATE,61.858947,2.47,699.0,56.48,5529.0,3.685
K00740.01,CONFIRMED,17.6717714,2.44,513.0,16.38,4869.0,4.636
K00649.01,CONFIRMED,23.44970494,2.71,802.0,97.94,6188.0,4.196
K00102.01,CANDIDATE,1.73513619,3.27,1554.0,1372.87,5751.0,4.391
K00650.01,CONFIRMED,11.95474513,5.15,906.0,159.04,5059.0,3.976
K00652.01,CONFIRMED,16.08065726,4.43,614.0,33.64,5303.0,4.547
K00701.01,CONFIRMED,18.16407304,1.98,508.0,15.72,4926.0,4.653
K00701.02,CONFIRMED,5.71489692,1.33,747.0,73.38,4926.0,4.653
K00701.03,CONFIRMED,122.3858681,1.72,269.0,1.24,4926.0,4.653
K00108.02,CONFIRMED,179.609803,5.47,389.0,5.41,5880.0,4.154
K00654.01,CONFIRMED,8.59481851,1.75,854.0,125.48,5675.0,4.459
K00654.02,CONFIRMED,10.22215697,1.72,806.0,99.68,5675.0,4.459
K00655.01,CONFIRMED,25.6721559,2.68,683.0,51.47,6034.0,4.359
K00655.02,CONFIRMED,151.8851881,2.47,378.0,4.81,6034.0,4.359
K00704.01,CANDIDATE,18.39629744,2.47,582.0,27.09,5316.0,4.57
K00707.01,CONFIRMED,21.77568158,4.76,853.0,125.14,5900.0,4.022
K00707.02,CONFIRMED,41.0283424,3.92,691.0,53.8,5900.0,4.022
K00657.01,CONFIRMED,4.069425638,1.53,802.0,97.72,4671.0,4.636
K00102.02,CANDIDATE,4.06844957,0.98,1170.0,442.08,5751.0,4.391
K00657.02,CONFIRMED,16.28247625,1.88,505.0,15.37,4671.0,4.636
K00658.01,CONFIRMED,3.162692075,2.61,1308.0,692.32,5821.0,4.355
K00707.03,CONFIRMED,31.7848157,3.55,752.0,75.59,5900.0,4.022
K00707.04,CONFIRMED,13.17555999,2.82,1009.0,244.58,5900.0,4.022
K00707.05,CONFIRMED,5.66815821,1.85,1336.0,752.7,5900.0,4.022
K00708.01,CONFIRMED,17.40665216,2.95,814.0,104.04,6086.0,4.274
K04577.02,CANDIDATE,3.07365139,0.79,1215.0,515.92,6068.0,4.565
K00658.02,CONFIRMED,5.370639542,2.54,1096.0,341.68,5821.0,4.355
K00658.03,CONFIRMED,11.32977062,1.37,855.0,126.21,5821.0,4.355
K00659.01,CONFIRMED,23.20579353,5.86,1002.0,238.21,5460.0,3.626
K00660.01,CONFIRMED,6.07972016,2.32,1111.0,360.77,5460.0,4.139
K07621.01,CANDIDATE,275.07365,1.86,303.0,2.0,5604.0,4.226
K00661.01,CONFIRMED,14.40090414,2.71,828.0,111.24,5815.0,4.27
K00708.02,CONFIRMED,7.69363627,2.12,1069.0,308.61,6086.0,4.274
K00709.01,CONFIRMED,21.3851584,2.17,574.0,25.63,5376.0,4.516
K00710.01,CONFIRMED,5.37493289,2.12,1413.0,942.35,6167.0,4.037
K00710.02,CONFIRMED,8.58600968,1.84,1208.0,503.98,6167.0,4.037
K04622.02,CANDIDATE,4.50158249,0.73,676.0,49.21,4339.0,4.711
K00710.03,CONFIRMED,3.88688862,1.29,1574.0,1448.04,6167.0,4.037
K00605.01,CONFIRMED,2.628117322,1.77,737.0,69.56,3939.0,4.705
K00605.02,CANDIDATE,5.06546874,0.62,592.0,29.01,3939.0,4.705
K00607.01,CANDIDATE,5.89399142,11.16,940.0,185.03,5713.0,4.541
K00661.02,CONFIRMED,25.6613816,1.78,683.0,51.48,5815.0,4.27
K00662.01,CONFIRMED,10.21418792,2.29,957.0,198.34,5843.0,4.25
K00663.01,CONFIRMED,2.755637216,1.37,757.0,77.57,4121.0,4.709
K00103.01,CANDIDATE,14.91095177,2.62,694.0,54.87,5650.0,4.5
K00663.02,CONFIRMED,20.30652862,1.58,389.0,5.4,4121.0,4.709
K00711.01,CONFIRMED,44.6996563,3.05,500.0,14.81,5497.0,4.394
K00711.02,CONFIRMED,3.619309734,1.47,1156.0,422.53,5497.0,4.394
K00711.03,CONFIRMED,124.5245224,2.69,356.0,3.78,5497.0,4.394
K04692.02,CANDIDATE,7.6720844,0.72,875.0,138.74,5972.0,4.57
K00610.01,CONFIRMED,14.28228147,1.82,446.0,9.38,4102.0,4.675
K00611.01,CANDIDATE,3.251659087,9.83,1384.0,865.87,6367.0,4.419
K00094.04,CONFIRMED,3.743166733,1.5,1423.0,971.76,6181.0,4.234
K00664.01,CONFIRMED,13.13747785,1.85,825.0,109.68,5762.0,4.314
K00664.02,CONFIRMED,7.78199862,1.32,983.0,220.8,5762.0,4.314
K00664.03,CONFIRMED,23.4433748,1.29,681.0,50.72,5762.0,4.314
K00665.01,CONFIRMED,5.868066282,3.6,1254.0,584.32,5918.0,4.127
K00665.02,CONFIRMED,1.61189046,1.72,1930.0,3267.98,5918.0,4.127
K00110.01,CONFIRMED,9.940666412,2.87,996.0,233.04,6215.0,4.305
K00714.01,CONFIRMED,4.182001885,2.46,974.0,213.29,5328.0,4.551
K04700.02,CANDIDATE,66.47762,1.83,388.0,5.34,5515.0,4.592
K00716.01,CANDIDATE,26.89316101,6.78,614.0,33.54,6096.0,4.511
K00717.01,CONFIRMED,14.70749512,2.04,819.0,106.22,5676.0,4.247
K00612.01,CONFIRMED,20.73989406,2.11,536.0,19.47,5132.0,4.571
K00612.02,CONFIRMED,47.4277116,2.33,407.0,6.46,5132.0,4.571
K00614.01,CONFIRMED,12.87471243,11.26,926.0,173.5,5963.0,4.218
K00665.03,CONFIRMED,3.07155284,1.65,1556.0,1389.97,5918.0,4.127
K00666.01,CONFIRMED,22.24814617,2.72,609.0,32.58,5629.0,4.503
K07636.01,CANDIDATE,0.702739679,0.73,1765.0,2292.96,5269.0,4.508
K00104.01,CONFIRMED,2.508057497,3.25,997.0,234.06,4780.0,4.597
K00717.02,CONFIRMED,0.900375925,0.82,2078.0,4399.18,5676.0,4.247
K00718.01,CONFIRMED,4.585466941,3.29,1307.0,688.54,5788.0,4.16
K00718.02,CONFIRMED,22.71443351,4.01,766.0,81.57,5788.0,4.16
K00718.03,CONFIRMED,47.903427,3.55,598.0,30.17,5788.0,4.16
K00719.01,CONFIRMED,9.034190783,1.8,586.0,27.87,4499.0,4.635
K00618.01,CONFIRMED,9.07098164,2.94,825.0,109.61,5672.0,4.506
K00620.01,CONFIRMED,45.15535633,7.65,523.0,17.68,6046.0,4.486
K00670.01,CONFIRMED,9.48965527,2.16,926.0,173.79,5672.0,4.279
K00671.01,CONFIRMED,4.22865217,1.83,1379.0,854.59,5966.0,4.169
K00671.02,CONFIRMED,7.46662068,1.65,1141.0,401.08,5966.0,4.169
